"Địa phương","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017"
"CẢ NƯỚC",89.84,92.13,91.57,90.53,93.70,80.42,86.58,83.82,92.57,95.72,98.97,97.98,98.75,93.85,94.85,97.94
"Đồng bằng sông Hồng",..,..,..,..,..,89.19,92.76,91.93,97.73,98.79,99.45,98.44,98.12,96.31,97.08,98.97
"     Hà Nội",96.03,97.23,96.71,98.03,98.44,94.80,96.82,89.84,94.87,98.05,98.50,97.11,95.07,95.57,95.83,98.66
"     Hà Tây",99.46,97.02,99.79,99.08,99.32,74.30,77.56,..,..,..,..,..,..,..,..,..
"     Vĩnh Phúc",95.71,95.50,94.44,97.94,98.44,92.59,93.55,83.91,96.32,98.38,99.52,98.74,99.56,97.25,99.39,99.28
"     Bắc Ninh",97.89,99.35,98.46,98.65,99.54,90.86,94.76,94.15,99.41,99.62,99.96,99.19,98.30,97.96,99.40,99.62
"     Quảng Ninh",94.95,99.31,99.42,99.22,99.02,88.95,97.24,90.75,98.32,97.66,99.60,98.38,99.49,94.79,97.34,98.01
"     Hải Dương",98.56,96.86,96.84,99.79,99.26,94.47,77.56,91.56,99.39,99.19,99.95,99.24,99.72,97.85,99.00,99.10
"     Hải Phòng",92.74,97.57,97.85,96.95,98.69,92.61,98.46,93.66,98.88,97.86,99.98,97.62,99.91,97.54,91.88,99.31
"     Hưng Yên",98.28,99.32,99.60,98.87,99.26,80.06,96.14,86.66,99.44,99.84,99.98,99.21,99.81,95.65,97.76,98.04
"     Thái Bình",98.82,99.25,98.94,97.09,98.05,95.23,94.36,96.85,99.72,99.72,99.96,99.58,99.81,94.82,98.29,99.37
"     Hà Nam",95.97,96.49,99.56,98.90,99.01,91.39,97.81,97.43,99.73,99.65,99.87,99.76,99.57,93.40,96.70,98.83
"     Nam Định",98.51,98.88,99.72,99.70,99.87,95.82,95.56,98.26,99.78,99.89,99.97,99.94,99.94,98.17,99.24,99.77
"     Ninh Bình",98.33,95.91,98.64,97.38,97.71,85.29,97.63,91.10,98.59,99.79,99.94,99.76,99.43,97.92,98.22,99.34
"Trung du và miền núi phía Bắc",..,..,..,..,..,65.76,82.84,78.16,93.25,96.60,99.10,95.93,98.64,93.58,96.28,97.84
"     Hà Giang",88.11,88.66,62.58,74.72,87.64,57.91,82.84,75.90,95.74,91.99,98.37,94.17,96.27,82.79,91.10,92.00
"     Cao Bằng",93.18,93.64,85.34,90.85,86.83,46.97,81.85,64.24,89.65,93.73,97.59,97.44,99.01,92.54,95.24,94.42
"     Bắc Kạn",89.13,91.04,85.76,77.83,90.67,38.57,69.10,60.95,69.30,94.41,99.59,98.45,99.39,90.71,96.65,97.08
"     Tuyên Quang",86.13,88.12,96.93,97.86,95.54,39.61,58.15,81.48,96.44,99.77,99.26,94.84,98.54,93.57,98.87,98.28
"     Lào Cai",82.64,88.74,88.81,89.27,96.22,76.37,87.83,81.01,82.97,91.23,98.08,91.71,99.13,93.82,96.27,98.82
"     Yên Bái",89.20,92.59,93.88,94.67,96.72,48.77,82.12,72.74,98.18,95.80,98.92,91.93,98.91,93.78,96.07,98.39
"     Thái Nguyên",92.21,94.70,96.94,95.62,95.78,79.55,72.89,84.71,92.23,92.83,99.68,98.43,98.72,93.46,92.98,97.30
"     Lạng Sơn",90.75,85.09,85.57,85.85,86.78,76.10,87.27,85.07,93.88,96.81,98.63,95.62,96.95,90.09,91.51,98.32
"     Bắc Giang",95.52,98.03,97.61,96.23,97.47,85.75,85.85,88.04,97.84,99.38,99.05,97.35,99.44,98.66,99.22,99.00
"     Phú Thọ",94.76,96.37,98.14,97.61,98.96,69.54,93.58,89.99,99.52,99.22,99.54,98.40,99.26,95.99,97.97,99.08
"     Điện Biên",..,..,81.23,83.18,81.79,91.99,85.96,73.32,69.11,95.65,97.37,94.32,96.80,87.48,94.53,98.85
"     Lai Châu",83.28,95.29,94.72,85.24,86.83,65.07,82.21,84.79,92.14,91.90,97.96,94.02,99.56,94.21,97.92,98.57
"     Sơn La",94.23,89.28,91.12,89.82,88.72,48.59,75.99,39.07,92.07,97.80,99.98,92.75,99.15,94.64,98.43,97.59
"     Hoà Bình",90.95,98.53,94.06,98.99,96.61,66.06,74.24,80.84,95.37,97.05,99.95,96.09,98.59,93.77,97.36,97.43
"Bắc Trung Bộ và Duyên hải miền Trung",..,..,..,..,..,78.22,85.06,82.45,95.08,96.76,99.04,97.98,98.85,91.92,93.14,96.80
"     Thanh Hoá",98.82,97.46,99.19,98.90,98.65,79.51,85.06,86.18,98.68,99.23,99.93,99.34,99.74,93.08,97.34,97.82
"     Nghệ An",95.96,97.33,99.73,99.56,96.57,68.45,91.63,87.35,98.00,97.73,98.91,96.87,99.57,96.54,97.83,98.52
"     Hà Tĩnh",98.54,95.22,86.31,89.16,94.15,86.87,77.24,73.09,98.21,99.09,99.40,96.72,99.02,97.45,93.63,99.13
"     Quảng Bình",90.05,94.02,98.83,96.88,98.73,62.35,94.23,79.25,96.80,99.30,99.50,99.05,99.28,93.67,93.37,96.62
"     Quảng Trị",90.49,86.03,92.30,92.01,96.21,83.36,80.97,82.77,96.18,94.28,98.95,96.26,98.71,89.68,90.86,95.29
"     Thừa Thiên Huế",89.77,90.40,90.17,91.97,89.30,76.55,84.56,86.29,96.81,96.97,99.80,98.89,98.90,94.68,95.17,96.71
"     Đà Nẵng",84.00,93.49,85.17,89.79,97.42,83.86,88.41,89.74,96.11,96.70,99.54,98.31,98.35,87.19,85.36,91.95
"     Quảng Nam",87.50,95.98,74.61,84.72,85.68,78.02,82.14,84.47,94.48,97.25,98.81,98.49,98.09,89.30,86.01,92.75
"     Quảng Ngãi",85.67,85.89,93.39,90.94,85.26,75.85,79.01,73.16,96.69,98.57,99.86,98.97,98.43,90.26,92.62,95.85
"     Bình Định",84.96,88.46,88.86,88.50,95.42,84.24,90.56,88.48,93.90,96.84,98.00,99.38,97.44,91.45,94.99,98.08
"     Phú Yên",76.09,89.44,90.42,93.61,86.85,81.85,80.55,64.60,86.42,92.77,93.81,93.35,97.63,84.86,87.07,94.58
"     Khánh Hoà",81.52,83.28,85.70,85.83,93.84,90.97,85.79,81.62,97.99,96.62,99.61,99.45,99.34,89.96,89.81,97.44
"     Ninh Thuận",64.62,80.44,82.98,80.42,88.02,82.53,85.36,68.53,69.34,91.86,99.60,90.98,99.22,84.51,91.94,94.81
"     Bình Thuận",84.59,81.04,74.71,76.84,89.47,83.50,84.40,81.73,80.23,84.27,98.84,98.69,98.49,87.61,90.45,99.15
"Tây Nguyên",..,..,..,..,..,70.99,75.85,78.03,83.86,89.28,98.36,97.10,98.14,87.61,90.72,97.08
"     Kon Tum",92.35,82.08,84.65,81.04,91.31,72.90,82.45,85.73,97.16,97.31,98.93,97.92,98.81,94.36,96.72,98.81
"     Gia Lai",81.66,91.49,84.75,88.99,88.73,69.13,74.32,75.84,83.09,88.35,98.24,97.32,97.01,77.26,90.77,96.60
"     Đắk Lắk",73.61,79.98,88.16,83.37,88.05,62.60,68.51,69.11,78.14,88.37,97.47,95.73,98.14,87.09,86.74,95.85
"     Đắk Nông",..,..,89.15,81.57,78.21,64.20,76.35,76.09,78.20,81.02,99.41,96.83,98.35,91.86,91.45,95.51
"     Lâm Đồng",78.02,83.39,90.53,85.69,92.55,88.24,89.47,93.38,92.51,92.55,99.28,98.90,98.84,93.80,95.15,99.42
"Đông Nam Bộ",..,..,..,..,..,88.65,88.64,86.90,91.28,94.15,98.56,98.57,99.56,96.03,94.99,98.23
"     Bình Phước",81.49,86.75,75.99,67.09,87.71,73.52,81.61,82.19,92.07,91.80,99.62,98.83,99.46,95.63,92.14,99.40
"     Tây Ninh",86.11,93.11,74.06,82.88,89.43,87.12,85.06,72.74,79.14,82.72,94.94,93.64,97.75,92.40,92.72,99.24
"     Bình Dương",72.53,90.33,81.91,85.43,87.50,76.41,74.85,77.89,86.15,89.47,98.71,99.62,99.79,94.77,94.41,99.87
"     Đồng Nai",93.60,93.83,90.11,88.28,93.62,83.76,84.67,79.59,89.48,93.91,99.51,98.76,99.98,94.24,95.34,91.64
"     Bà Rịa - Vũng Tàu",91.69,92.42,92.83,84.38,93.33,81.15,82.05,84.57,92.58,97.22,99.45,98.50,99.46,95.91,96.73,99.75
"     TP.Hồ Chí Minh",86.07,88.22,92.50,90.25,96.41,97.49,96.42,94.57,94.13,96.19,98.31,99.04,99.62,97.39,95.34,99.59
"Đồng bằng sông Cửu Long",..,..,..,..,..,80.62,84.41,75.11,81.55,91.28,98.47,98.95,99.27,94.05,94.51,98.35
"     Long An",76.17,84.02,79.61,80.25,88.80,90.30,88.02,86.13,87.00,88.98,97.17,97.84,98.21,92.22,92.52,98.56
"     Tiền Giang",71.08,93.50,88.62,80.91,91.56,90.31,88.17,86.90,85.98,89.07,95.93,97.76,99.22,96.19,95.56,91.26
"     Bến Tre",63.78,90.19,81.46,80.11,86.24,87.18,88.85,79.71,72.47,84.15,98.13,99.20,99.69,97.06,96.07,99.83
"     Trà Vinh",78.29,90.00,76.68,80.17,90.78,82.96,87.42,82.56,78.46,90.91,97.92,99.13,99.78,97.10,95.83,99.17
"     Vĩnh Long",80.04,81.58,72.35,70.13,82.81,80.08,87.47,80.93,83.40,86.84,97.74,98.59,99.05,95.97,96.38,99.69
"     Đồng Tháp",84.19,84.55,84.59,66.68,91.81,78.91,82.68,63.08,80.82,94.60,99.72,99.70,99.53,91.67,92.36,99.36
"     An Giang",90.13,77.32,84.69,71.63,77.69,81.24,89.62,75.20,80.39,89.32,98.94,99.08,99.64,95.81,95.20,99.53
"     Kiên Giang",80.60,86.97,80.00,78.47,85.49,73.92,75.99,59.38,74.13,97.35,99.56,99.47,99.29,91.12,94.17,98.49
"     Cần Thơ",73.15,79.09,80.91,65.70,94.79,86.51,90.16,77.42,86.01,97.74,99.62,99.96,99.72,97.76,96.57,99.05
"     Hậu Giang",..,..,79.00,74.34,89.38,73.60,77.45,61.95,88.67,97.94,99.88,99.60,99.89,95.87,93.35,99.52
"     Sóc Trăng",74.80,87.03,80.45,72.42,74.74,67.07,72.54,63.76,75.21,90.74,98.90,98.55,99.60,94.55,95.58,99.25
"     Bạc Liêu",84.75,70.53,75.16,76.97,79.04,59.18,73.61,73.08,85.34,95.48,99.44,98.89,98.74,89.28,93.36,99.67
"     Cà Mau",83.11,76.20,71.21,68.41,79.96,78.00,84.92,82.25,90.01,93.16,99.45,98.93,98.27,85.22,91.89,98.06
