"Địa phương","2015","2016","2017","2018"
"CẢ NƯỚC",1753174,1767879,1707025,1526111
"Đồng bằng sông Hồng",728271,732325,698088,599238
"     Hà Nội",611608,611982,588931,505627
"     Vĩnh Phúc",15675,15065,11362,7615
"     Bắc Ninh",6196,5638,7166,4477
"     Quảng Ninh",4588,3911,2972,3056
"     Hải Dương",11533,12225,10992,8312
"     Hải Phòng",35793,36475,32458,30617
"     Hưng Yên",13062,14264,11674,10631
"     Thái Bình",7353,7654,7773,7077
"     Nam Định",21034,23546,23384,20886
"     Ninh Bình",1429,1565,1376,940
"Trung du và miền núi phía Bắc",76950,80047,70753,48471
"     Tuyên Quang",919,1316,1568,1560
"     Thái Nguyên",54466,58289,53211,32420
"     Bắc Giang",1690,3091,2314,1880
"     Phú Thọ",10006,10464,7689,6640
"     Sơn La",8545,6887,5971,5971
"     Hoà Bình",1324,..,..,..
"Bắc Trung Bộ và Duyên hải miền Trung",260500,257262,241676,214342
"     Thanh Hoá",12810,12588,11263,9303
"     Nghệ An",50993,46683,37978,36375
"     Hà Tĩnh",3607,4439,3610,2948
"     Quảng Bình",3515,3344,3924,2381
"     Quảng Trị",..,249,202,77
"     Thừa Thiên Huế",63270,65431,55969,41739
"     Đà Nẵng",73930,74935,79713,74626
"     Quảng Nam",4470,5126,4595,2543
"     Quảng Ngãi",5509,5178,4269,3613
"     Bình Định",21368,17886,17798,19792
"     Phú Yên",5465,5973,4750,3203
"     Khánh Hoà",14264,13824,15987,15980
"     Bình Thuận",1299,1606,1618,1762
"Tây Nguyên",30835,31169,29967,25824
"     Kon Tum",1928,2234,2052,..
"     Đắk Lắk",15688,14227,13112,11919
"     Lâm Đồng",13219,14708,14803,13905
"Đông Nam Bộ",504772,510127,516797,510857
"     Bình Dương",23252,26264,26016,25666
"     Đồng Nai",21576,20739,20177,18461
"     Bà Rịa - Vũng Tàu",4018,4137,4237,4323
"     TP.Hồ Chí Minh",455926,458987,466367,462407
"Đồng bằng sông Cửu Long",151846,156949,149744,127379
"     Long An",2427,2161,2117,2647
"     Tiền Giang",4003,4013,4032,3144
"     Trà Vinh",29266,29135,25527,15575
"     Vĩnh Long",7996,9336,10663,10215
"     Đồng Tháp",11823,12050,8909,7946
"     An Giang",10069,9117,8348,8802
"     Kiên Giang",853,1996,3297,4178
"     Cần Thơ",78341,82134,80157,68354
"     Hậu Giang",4321,4616,4437,4369
"     Bạc Liêu",2747,2391,2257,2149
