"Địa phương","2018 Tổng số","2018 Kết hôn lần đầu","2018 Lần thứ 2 trở lên","2019 Tổng số","2019 Kết hôn lần đầu","2019 Lần thứ 2 trở lên"
"CẢ NƯỚC",735292,661890,73402,699265,620784,78481
"Đồng bằng sông Hồng",146595,127606,18989,145889,127085,18804
"Hà Nội",47803,40990,6813,47581,40576,7005
"Vĩnh Phúc",7179,6646,533,8186,7412,774
"Bắc Ninh",8849,8315,534,8534,7603,931
"Quảng Ninh",8816,7384,1432,8869,7282,1587
"Hải Dương",13793,11775,2018,13376,11281,2095
"Hải Phòng",13224,10993,2231,13173,11047,2126
"Hưng Yên",8781,7927,854,8155,7276,879
"Thái Bình",12032,10912,1120,12335,11399,936
"Hà Nam",6292,5724,568,5820,5237,583
"Nam Định",13137,10953,2184,14464,13197,1267
"Ninh Bình",6689,5987,702,5396,4775,621
"Trung du và miền núi phía Bắc",101398,92942,8456,92669,83589,9080
"Hà Giang",7622,7415,207,7279,6842,437
"Cao Bằng",4664,4538,126,4626,4465,161
"Bắc Kạn",2402,2242,160,2203,1949,254
"Tuyên Quang",6267,5535,732,5668,5120,548
"Lào Cai",6636,6013,623,6273,5665,608
"Yên Bái",7666,7125,541,5953,5360,593
"Thái Nguyên",8564,7586,978,8118,7132,986
"Lạng Sơn",5988,5382,606,5540,4839,701
"Bắc Giang",11712,10311,1401,12792,11182,1610
"Phú Thọ",10435,9210,1225,10130,8744,1386
"Điện Biên",7057,6754,303,4837,4493,344
"Lai Châu",3638,3497,141,3930,3808,122
"Sơn La",13578,12276,1302,10175,9437,738
"Hòa Bình",5169,5058,111,5145,4553,592
"Bắc Trung Bộ và duyên hải miền Trung",169745,158507,11238,161817,148858,12959
"Thanh Hóa",25795,24014,1781,24946,23543,1403
"Nghệ An",25650,23867,1783,24079,22286,1793
"Hà Tĩnh",11073,10624,449,9919,9002,917
"Quảng Bình",7932,7400,532,7270,6604,666
"Quảng Trị",5660,5511,149,5727,5415,312
"Thừa Thiên - Huế",9664,9096,568,9478,8788,690
"Đà Nẵng",8423,7682,741,8048,7144,904
"Quảng Nam",13936,13144,792,13361,12327,1034
"Quảng Ngãi",12307,11688,619,11210,10425,785
"Bình Định",12509,11854,655,12934,11921,1013
"Phú Yên",7453,7070,383,5956,5507,449
"Khánh Hòa",10370,8986,1384,10629,9177,1452
"Ninh Thuận",6387,5942,445,5933,5795,138
"Bình Thuận",12586,11629,957,12327,10924,1403
"Tây Nguyên",54080,50403,3677,48887,44919,3968
"Kon Tum",4207,4018,189,4137,3935,202
"Gia Lai",14307,13512,795,13261,12419,842
"Đắk Lắk",19067,17728,1339,16925,15453,1472
"Đắk Nông",5456,4998,458,4474,4067,407
"Lâm Đồng",11043,10147,896,10090,9045,1045
"Đông Nam Bộ",105692,88831,16861,99452,82466,16986
"Bình Phước",7974,7842,132,6693,5675,1018
"Tây Ninh",10203,8523,1680,9803,7890,1913
"Bình Dương",10105,8321,1784,9638,7813,1825
"Đồng Nai",22146,19214,2932,18715,16716,1999
"Bà Rịa - Vũng Tàu",10544,9253,1291,10225,8989,1236
"TP. Hồ Chí Minh",44720,35678,9042,44378,35383,8995
"Đồng bằng sông Cửu Long",157782,143601,14181,150551,133867,16684
"Long An",16988,15074,1914,15049,13148,1901
"Tiền Giang",15117,13635,1482,14783,12577,2206
"Bến Tre",11304,9567,1737,10845,8993,1852
"Trà Vinh",9563,8509,1054,8673,7452,1221
"Vĩnh Long",8133,7192,941,7728,6855,873
"Đồng Tháp",13667,12284,1383,13408,11831,1577
"An Giang",19013,17293,1720,19080,17282,1798
"Kiên Giang",17516,16257,1259,16764,15436,1328
"Cần Thơ",8976,8412,564,8660,7515,1145
"Hậu Giang",5337,4899,438,5687,5269,418
"Sóc Trăng",13378,12505,873,12184,11291,893
"Bạc Liêu",7282,7078,204,6923,6277,646
"Cà Mau",11508,10896,612,10767,9941,826
