"Tỉnh/thành phố","2010","2015","2016","2017","2018"
"CẢ NƯỚC",356301,552747,711975,877534,895560
"Đồng bằng sông Hồng",96216,162422,191456,284095,299726
"Hà Nội",82761,80437,87961,129363,144662
"Vĩnh Phúc",6590,24239,28619,27816,35504
"Bắc Ninh",3777,45329,49596,83570,78434
"Quảng Ninh",1369,1581,5441,8654,6412
"Hải Dương",1825,7486,8751,12424,15279
"Hải Phòng",1602,-1780,7279,9490,10701
"Hưng Yên",-3218,2067,1515,10506,8510
"Thái Bình",215,-744,151,635,-813
"Hà Nam",530,1225,1510,1742,1659
"Nam Định",498,367,198,1078,181
"Ninh Bình",266,2215,436,-1182,-803
"Trung du và miền núi phía Bắc",1578,34657,58998,73251,60172
"Hà Giang",162,736,537,801,774
"Cao Bằng",203,3,-189,-5,-47
"Bắc Kạn",22,-321,-35,87,-161
"Tuyên Quang",204,-1066,-814,-40,396
"Lào Cai",828,845,495,2124,2515
"Yên Bái",112,407,588,692,656
"Thái Nguyên",882,33022,55083,65930,50536
"Lạng Sơn",59,-72,-296,-629,-144
"Bắc Giang",549,466,2543,3296,2852
"Phú Thọ",669,797,644,157,1449
"Điện Biên",107,179,36,-45,137
"Lai Châu",66,1,342,15,62
"Sơn La",439,-226,-394,756,686
"Hòa Bình",-2724,-114,457,112,462
"Bắc Trung Bộ và duyên hải miền Trung",13509,28411,31446,31992,16168
"Thanh Hóa",1646,1715,1391,1442,-11209
"Nghệ An",1143,1175,2200,1048,-62
"Hà Tĩnh",218,-1896,-3947,-4311,-2506
"Quảng Bình",247,-330,-569,-1292,-569
"Quảng Trị",270,114,127,249,425
"Thừa Thiên - Huế",1416,1011,848,2173,1560
"Đà Nẵng",1400,3550,4979,6915,8556
"Quảng Nam",1595,8111,9121,4865,7783
"Quảng Ngãi",342,8021,6308,9839,2814
"Bình Định",1142,1712,1763,2070,2036
"Phú Yên",641,542,774,1262,1088
"Khánh Hòa",2492,3646,4710,5996,3715
"Ninh Thuận",-65,176,195,414,535
"Bình Thuận",1020,864,3547,1322,2001
"Tây Nguyên",6625,4998,4074,6810,265
"Kon Tum",647,260,546,430,181
"Gia Lai",4370,3179,-155,1784,-3219
"Đắk Lắk",1043,-119,1306,1536,686
"Đắk Nông",245,237,474,476,239
"Lâm Đồng",320,1441,1903,2584,2379
"Đông Nam Bộ",208153,240921,287885,313252,325028
"Bình Phước",2818,2196,1856,2882,2068
"Tây Ninh",1970,1247,4465,6881,8152
"Bình Dương",17249,34579,42247,44237,55178
"Đồng Nai",19263,50388,53445,48258,57756
"Bà Rịa - Vũng Tàu",66615,22371,22066,27298,11237
"TP. Hồ Chí Minh",100239,130140,163806,183695,190636
"Đồng bằng sông Cửu Long",22516,28176,46477,41929,48804
"Long An",4849,4738,18868,6758,18046
"Tiền Giang",1601,2373,2960,3430,3650
"Bến Tre",572,1518,1815,2234,2517
"Trà Vinh",455,688,1311,821,212
"Vĩnh Long",88,1653,2069,1757,2320
"Đồng Tháp",1698,2069,3595,2791,4751
"An Giang",3768,2215,1818,2279,2326
"Kiên Giang",1808,4384,4276,6830,3920
"Cần Thơ",3163,2785,2822,4352,3934
"Hậu Giang",1198,342,1439,2785,2588
"Sóc Trăng",633,358,831,1208,1487
"Bạc Liêu",897,2009,2295,2591,2085
"Cà Mau",1786,3043,2377,4093,969
"Không xác định",7704,53162,91638,126206,145398
