"Tỉnh/thành phố","2017","2018","2019"
"CẢ NƯỚC",654633,714755,758610
"Đồng bằng sông Hồng",207376,222324,238386
"Hà Nội",133981,143119,155940
"Vĩnh Phúc",7828,8455,8907
"Bắc Ninh",5674,6398,7069
"Quảng Ninh",8622,9915,11349
"Hải Dương",7427,8208,8981
"Hải Phòng",21598,21613,19918
"Hưng Yên",5820,6602,7173
"Thái Bình",4480,4838,4991
"Hà Nam",3352,3751,4105
"Nam Định",5044,5475,5676
"Ninh Bình",3550,3950,4277
"Trung du và miền núi phía Bắc",28302,30370,31812
"Hà Giang",1136,1138,1167
"Cao Bằng",945,998,1067
"Bắc Kạn",660,662,612
"Tuyên Quang",1168,1275,1329
"Lào Cai",2578,2582,2578
"Yên Bái",1423,1513,1609
"Thái Nguyên",4045,4235,4526
"Lạng Sơn",1608,1746,1905
"Bắc Giang",4715,5451,5881
"Phú Thọ",4273,4722,4912
"Điện Biên",1010,1026,1042
"Lai Châu",1097,1125,1067
"Sơn La",1643,1728,1805
"Hòa Bình",2001,2169,2312
"Bắc Trung Bộ và duyên hải miền Trung",88222,95558,100725
"Thanh Hóa",9557,11127,11763
"Nghệ An",11456,11706,10855
"Hà Tĩnh",4166,4448,4555
"Quảng Bình",3809,4034,4161
"Quảng Trị",2495,2619,2698
"Thừa Thiên - Huế",4160,4303,4449
"Đà Nẵng",18417,20375,22566
"Quảng Nam",5973,6481,7252
"Quảng Ngãi",4306,4723,5087
"Bình Định",5891,6200,6394
"Phú Yên",2456,2607,2720
"Khánh Hòa",9405,10401,11040
"Ninh Thuận",1949,2079,2342
"Bình Thuận",4182,4455,4843
"Tây Nguyên",17533,18489,19777
"Kon Tum",1551,1571,1644
"Gia Lai",3482,3611,3871
"Đắk Lắk",5129,5473,5947
"Đắk Nông",1864,1956,1996
"Lâm Đồng",5507,5878,6319
"Đông Nam Bộ",263426,294940,312821
"Bình Phước",4046,4471,5108
"Tây Ninh",3665,3842,3996
"Bình Dương",22976,27566,31599
"Đồng Nai",18865,21183,22398
"Bà Rịa - Vũng Tàu",8956,9611,10097
"TP. Hồ Chí Minh",204918,228267,239623
"Đồng bằng sông Cửu Long",49774,53074,55089
"Long An",7831,8883,9694
"Tiền Giang",4165,4347,4512
"Bến Tre",2925,3169,3065
"Trà Vinh",1765,1878,2037
"Vĩnh Long",2419,2454,2483
"Đồng Tháp",3042,3266,3404
"An Giang",4414,4470,4449
"Kiên Giang",6782,7375,7276
"Cần Thơ",7465,7824,8471
"Hậu Giang",1843,1899,1998
"Sóc Trăng",2136,2324,2412
"Bạc Liêu",1587,1779,1882
"Cà Mau",3400,3406,3406
